timestamp,red,green,blue
1779307039.1123602,2595,1090,3811
1779307039.4766893,2714,1309,4432
1779307039.8408728,2332,1318,4350
1779307040.2023418,2766,1322,4623
1779307040.5638278,2763,1318,4657
1779307040.92531,2717,1320,4653
1779307041.2867732,2767,1322,4643
1779307041.6482391,2769,1319,4611
1779307042.0101867,2506,1229,4421
1779307042.371848,2741,1316,4569
